EmpID,Age,Gender,Unit,Role,CertificationLevel,YearsExperience,ShiftPattern,WeeklyPatientLoad,OvertimeHoursPerWeek,AnnualSalary,HasDependents,CommuteMinutes,ManagerSupportScore,PeerSupportScore,BurnoutIndex
1,49,Female,Facilities,Facilities Manager,Advanced,25,Day,0,15,59402,Yes,33,4,5,4.0
2,40,Female,Outpatient,Nurse Practitioner,Entry,8,Day,22,5,115293,Yes,16,2,2,6.1
3,36,Male,Outpatient,Medical Assistant,Advanced,2,Rotating 12h,36,15,112785,No,9,2,5,7.9
4,31,Female,Administration,Office Manager,Specialist,5,Night,0,5,77310,Yes,25,4,4,3.4
5,30,Non-Binary,Facilities,Facilities Manager,Advanced,6,Day,0,10,37496,No,50,3,5,4.7
6,36,Male,General Ward,Registered Nurse,Specialist,14,Swing,38,5,98073,No,47,2,5,7.5
7,56,Male,Surgery,Surgeon,Intermediate,13,Night,13,0,261878,No,58,2,3,7.4
8,62,Non-Binary,Lab & Diagnostics,Lab Technician,Intermediate,1,Night,46,0,56699,No,23,5,1,6.0
9,52,Female,General Ward,Ward Clerk,Advanced,2,Day,30,5,169070,No,36,5,1,5.4
10,63,Non-Binary,General Ward,Ward Clerk,Intermediate,4,Swing,21,0,131096,Yes,35,5,2,4.9
11,49,Non-Binary,ICU,Respiratory Therapist,Advanced,11,Night,8,10,110798,No,11,4,2,6.6
12,52,Male,Emergency,Triage Nurse,Advanced,5,Rotating 12h,16,5,80866,Yes,10,5,5,5.5
13,30,Female,General Ward,Registered Nurse,Advanced,0,Day,43,10,43991,Yes,21,2,4,7.1
14,54,Non-Binary,General Ward,CNA,Advanced,30,Rotating 12h,21,30,45923,Yes,74,4,4,7.9
15,58,Male,Lab & Diagnostics,Pathologist,Entry,25,Rotating 12h,33,5,257152,Yes,37,4,3,6.9
16,39,Non-Binary,Surgery,OR Coordinator,Intermediate,14,Day,42,0,112236,Yes,53,2,5,5.5
17,50,Male,Pharmacy,Pharmacy Technician,Advanced,20,Swing,58,10,63828,Yes,53,5,1,7.0
18,32,Male,Outpatient,Medical Assistant,Advanced,0,Rotating 12h,64,15,108645,Yes,65,3,3,8.2
19,42,Female,Outpatient,Scheduler,Entry,4,Swing,18,0,82451,No,30,4,4,5.2
20,37,Female,Emergency,ER Nurse,Intermediate,4,Day,29,5,137952,Yes,21,5,3,5.1
21,23,Female,Surgery,Surgical Technician,Specialist,1,Night,23,15,68028,Yes,61,3,1,7.3
22,26,Male,Administration,Billing Specialist,Specialist,4,Day,0,20,39718,Yes,15,5,1,6.0
23,38,Female,Lab & Diagnostics,Pathologist,Specialist,12,Rotating 12h,41,20,251929,Yes,63,5,1,7.7
24,54,Male,Pharmacy,Pharmacy Technician,Entry,32,Night,43,15,139299,No,9,3,5,7.4
25,56,Non-Binary,Surgery,Surgical Nurse,Specialist,15,Day,33,10,79084,Yes,35,4,2,7.1
26,29,Male,Outpatient,Scheduler,Entry,5,Day,40,5,160044,No,23,5,1,5.9
27,52,Female,Outpatient,Scheduler,Intermediate,20,Day,40,5,72699,Yes,31,1,4,6.9
28,39,Male,Emergency,ER Technician,Advanced,12,Day,17,10,160047,Yes,26,2,2,6.2
29,60,Male,Emergency,ER Technician,Intermediate,11,Swing,33,30,52925,No,7,2,1,10.0
30,26,Male,Emergency,Triage Nurse,Entry,3,Rotating 12h,42,20,76230,Yes,36,2,2,9.4
31,55,Male,Administration,Billing Specialist,Intermediate,7,Rotating 12h,0,5,82763,Yes,65,4,3,4.7
32,29,Female,Emergency,Paramedic,Entry,6,Night,28,0,68479,Yes,15,1,4,6.0
33,43,Male,Facilities,Safety Officer,Entry,16,Night,0,10,52377,Yes,21,3,3,6.2
34,61,Female,Lab & Diagnostics,Lab Technician,Specialist,9,Night,80,20,167848,Yes,33,2,2,10.0
35,31,Female,Surgery,Anesthesiologist,Entry,5,Day,39,20,200371,No,69,5,1,7.6
36,57,Male,Facilities,Safety Officer,Specialist,15,Day,0,0,36686,Yes,56,1,5,5.1
37,26,Female,Emergency,ER Nurse,Entry,1,Rotating 12h,15,5,33186,Yes,11,2,5,7.5
38,34,Female,General Ward,Registered Nurse,Specialist,4,Night,14,15,93041,Yes,43,5,2,6.0
39,27,Female,Surgery,Surgical Technician,Advanced,3,Rotating 12h,14,5,119650,No,37,2,2,6.1
40,62,Female,Surgery,OR Coordinator,Specialist,6,Swing,42,10,32511,Yes,25,4,2,5.1
41,23,Non-Binary,General Ward,CNA,Entry,0,Swing,17,15,150094,Yes,11,1,5,6.1
42,28,Male,Surgery,Surgical Technician,Specialist,2,Night,29,20,156670,Yes,12,2,1,9.6
43,63,Female,Facilities,Safety Officer,Entry,34,Swing,0,15,37923,No,34,1,5,5.0
44,67,Male,Outpatient,Nurse Practitioner,Entry,29,Swing,75,30,56401,No,24,2,4,9.1
45,68,Male,Emergency,ER Physician,Entry,20,Night,34,10,177234,No,33,3,2,8.4
46,39,Male,Pharmacy,Clinical Pharmacist,Advanced,8,Day,23,10,89859,Yes,24,4,1,5.3
47,63,Female,Emergency,Triage Nurse,Advanced,9,Rotating 12h,16,10,105015,Yes,59,4,3,5.9
48,65,Male,Emergency,Paramedic,Advanced,23,Swing,36,5,148397,Yes,19,2,1,7.1
49,23,Male,Emergency,Paramedic,Intermediate,1,Swing,20,10,171147,No,6,4,3,6.0
50,57,Male,Surgery,Surgical Nurse,Intermediate,19,Swing,43,15,96724,Yes,17,4,1,6.2
51,59,Female,General Ward,Ward Clerk,Advanced,15,Night,45,0,100278,No,68,1,2,8.4
52,57,Female,Administration,Medical Records Clerk,Entry,33,Rotating 12h,0,15,75194,Yes,30,1,5,5.4
53,37,Non-Binary,Facilities,Environmental Services,Entry,9,Swing,0,15,58148,Yes,75,5,5,3.6
54,55,Female,Outpatient,Scheduler,Advanced,3,Swing,35,0,164062,Yes,46,5,3,5.1
55,51,Female,ICU,Intensivist,Specialist,6,Day,10,5,252623,Yes,40,5,4,5.0
56,60,Male,Facilities,Maintenance Technician,Advanced,9,Swing,0,5,43828,No,67,5,5,3.4
57,34,Male,Emergency,ER Physician,Advanced,7,Rotating 12h,8,10,60433,Yes,68,5,5,6.1
58,53,Male,General Ward,Nurse Practitioner,Intermediate,4,Night,35,20,79727,No,67,5,3,6.9
59,54,Non-Binary,Lab & Diagnostics,MRI Technician,Specialist,27,Day,66,20,39923,Yes,44,1,5,8.9
60,44,Non-Binary,General Ward,CNA,Entry,22,Night,32,30,42164,No,30,3,1,9.7
61,24,Male,Lab & Diagnostics,Radiologist,Specialist,2,Day,21,5,220853,No,14,2,5,6.1
62,64,Female,ICU,Respiratory Therapist,Specialist,20,Night,22,5,66559,Yes,61,5,1,6.8
63,68,Female,Surgery,Surgical Nurse,Specialist,8,Rotating 12h,20,30,61267,No,19,4,5,6.6
64,44,Male,General Ward,Registered Nurse,Entry,4,Swing,28,5,81279,Yes,51,3,2,4.3
65,63,Male,Facilities,Environmental Services,Specialist,40,Swing,0,5,33003,No,42,1,1,5.4
66,32,Male,Emergency,Paramedic,Entry,2,Rotating 12h,13,15,35405,No,60,3,3,7.1
67,23,Female,Outpatient,Physician,Intermediate,1,Rotating 12h,59,0,81467,No,22,1,3,8.3
68,54,Non-Binary,Emergency,Paramedic,Intermediate,20,Day,12,10,137768,No,48,1,5,7.1
69,42,Male,Administration,Billing Specialist,Intermediate,4,Day,0,10,60112,No,53,3,2,4.2
70,49,Non-Binary,Emergency,Triage Nurse,Intermediate,20,Swing,41,10,126091,No,71,4,2,6.6
71,38,Female,Surgery,OR Coordinator,Advanced,16,Day,39,5,68871,Yes,20,4,3,5.3
